date,rider_id,route_id,menu_type,backup_route,total_deliveries,completed_deliveries,cancelled_deliveries,ontime_deliveries,delayed_deliveries,uncontactable_customers,total_customers,total_meal,total_meal_revenue,delay_min_per_drop,scheduled_start_time,actual_start_time,first_customer_arrived_time,scheduled_last_delivered_time,actual_last_delivered_time,avg_rider_rating,avg_service_mins
01 Apr 2019,Rider 135,5ca1b8245998cc574654e0a1,Dinner,N,5,5,0,2,3,0,5,6,1322.4,6,3:16 PM,3:26 PM,3:45 PM,4:30 PM,4:59 PM,3,6.29
01 Apr 2019,Rider 10,5ca1c6350a59ea0cec119467,Dinner,N,7,7,0,7,0,0,7,14,4775.4,,4:15 PM,4:14 PM,4:32 PM,5:30 PM,5:29 PM,5,4.03
01 Apr 2019,Rider 87,5ca1c6350a59ea0cec119468,Dinner,N,6,6,0,3,3,0,6,12,2498.4,19,4:15 PM,4:18 PM,4:40 PM,5:30 PM,5:58 PM,3,6.56
01 Apr 2019,Rider 98,5ca1c6350a59ea0cec119463,Dinner,N,6,5,1,2,3,3,6,8,1179.2,27,4:15 PM,4:18 PM,4:27 PM,5:30 PM,6:02 PM,5,4.56
01 Apr 2019,Rider 96,5ca1c6350a59ea0cec11946e,Dinner,N,6,6,0,4,2,0,5,8,653.5,31,4:15 PM,4:19 PM,4:44 PM,5:30 PM,5:43 PM,5,3.49
01 Apr 2019,Rider 150,5ca1c6350a59ea0cec119465,Dinner,N,4,3,1,3,0,0,4,5,903.6,,4:15 PM,4:19 PM,4:34 PM,5:30 PM,5:24 PM,5,5.36
01 Apr 2019,Rider 25,5ca1c6350a59ea0cec11946b,Dinner,N,5,5,0,4,1,0,5,6,3272.1,40,4:15 PM,4:20 PM,4:29 PM,5:30 PM,5:30 PM,5,3.54
01 Apr 2019,Rider 83,5ca1c6350a59ea0cec119469,Dinner,N,4,4,0,4,0,0,4,30,3026.4,,4:15 PM,4:20 PM,4:38 PM,5:30 PM,5:20 PM,3,2.54
01 Apr 2019,Rider 148,5ca1c6350a59ea0cec119462,Dinner,N,4,3,1,3,0,0,4,6,5807.2,,4:15 PM,4:20 PM,4:30 PM,5:30 PM,5:28 PM,4,4.73
01 Apr 2019,Rider 102,5ca1c6350a59ea0cec119464,Dinner,N,6,6,0,6,0,0,6,8,1370.4,,4:16 PM,4:21 PM,4:31 PM,5:30 PM,5:29 PM,5,3.05
01 Apr 2019,Rider 41,5ca1c6350a59ea0cec119466,Dinner,N,7,7,0,5,2,0,7,13,12336,13,4:16 PM,4:21 PM,4:30 PM,5:30 PM,5:41 PM,4,2.17
01 Apr 2019,Rider 100,5ca1c6350a59ea0cec11946a,Dinner,N,6,6,0,3,3,1,6,13,729,29,4:16 PM,4:22 PM,4:58 PM,5:30 PM,6:08 PM,4.5,5.21
01 Apr 2019,Rider 97,5ca1c6350a59ea0cec11946c,Dinner,N,7,7,0,5,2,0,7,17,1396,19,4:16 PM,4:23 PM,4:33 PM,5:30 PM,5:41 PM,5,8.15
01 Apr 2019,Rider 91,5ca1c6350a59ea0cec11946d,Dinner,N,4,4,0,2,2,0,4,8,1283.2,32,4:16 PM,4:30 PM,5:02 PM,5:30 PM,6:14 PM,3,6.61
01 Apr 2019,Rider 15,5ca1d4485998cc462beafbdb,Dinner,N,6,6,0,5,1,0,6,8,1009.6,20,5:15 PM,5:14 PM,5:20 PM,6:30 PM,6:35 PM,5,3.81
01 Apr 2019,Rider 5,5ca1d4485998cc462beafbda,Dinner,N,10,10,0,8,2,0,10,12,3241.2,12,5:15 PM,5:15 PM,5:16 PM,6:30 PM,6:45 PM,5,4.55
01 Apr 2019,Rider 12,5ca1d4485998cc462beafbdd,Dinner,N,10,10,0,6,4,0,10,14,4368,6,5:15 PM,5:19 PM,5:28 PM,6:30 PM,6:56 PM,3.67,6.29
01 Apr 2019,Rider 13,5ca1d4485998cc462beafbe3,Dinner,N,6,6,0,2,4,0,6,10,1621,13,5:15 PM,5:21 PM,5:38 PM,6:30 PM,7:38 PM,3.67,8.07
01 Apr 2019,Rider 47,5ca1d4485998cc462beafbe5,Dinner,N,7,7,0,1,6,0,7,13,2882.1,35,5:15 PM,5:22 PM,5:47 PM,6:30 PM,7:27 PM,5,7.51
01 Apr 2019,Rider 94,5ca1d4485998cc462beafbe0,Dinner,N,4,4,0,2,2,0,4,4,2830.8,39,5:15 PM,5:23 PM,5:48 PM,6:30 PM,6:36 PM,3.5,2.13
01 Apr 2019,Rider 30,5ca1d4495998cc462beafbe6,Dinner,N,6,5,1,2,3,0,6,8,2338.8,37,5:15 PM,5:23 PM,5:47 PM,6:30 PM,7:04 PM,4,9.06
01 Apr 2019,Rider 1,5ca1d4495998cc462beafbe9,Dinner,N,5,5,0,3,2,0,5,7,3155.1,10,5:15 PM,5:24 PM,5:51 PM,6:30 PM,6:32 PM,4,5.13
01 Apr 2019,Rider 14,5ca1d4485998cc462beafbe4,Dinner,N,6,6,0,1,5,0,6,12,463.2,40,5:16 PM,5:24 PM,5:52 PM,6:30 PM,7:21 PM,4,4.21
01 Apr 2019,Rider 84,5ca1d4485998cc462beafbe2,Dinner,N,6,6,0,2,4,0,6,12,1153.6,31,5:16 PM,5:24 PM,5:43 PM,6:30 PM,6:56 PM,5,4.78
01 Apr 2019,Rider 7,5ca1d4495998cc462beafbea,Dinner,N,8,7,1,2,5,0,8,10,933.1,33,5:16 PM,5:25 PM,5:53 PM,6:30 PM,7:22 PM,5,4.89
01 Apr 2019,Rider 23,5ca1d4495998cc462beafbef,Dinner,N,4,4,0,1,3,0,4,6,591,34,5:16 PM,5:25 PM,6:11 PM,6:30 PM,7:49 PM,5,5.4
